1
D5 L6
I12 C3
L6 D11
E8 B8
D11 C4
E8 C6
F6 A10
I12 B4
M9 C1
E8 E2
F8 N11
E8 H7
C4 B4
E8 D2
B4 C11
E8 L9
F6 H9
I12 H1
C11 L7
D2 D1
F8 G9
D5 L7
C7 F7
I12 D1
C1 I5
I12 C1
I5 F11
D5 H11
E3 G12
E8 M7
F11 E11
D1 F1
E3 C5
I12 E9
E11 C7
D5 B5
F6 M5
E8 G5
F7 D5
D5 I8
C7 D4
I12 M1
F8 G11
F1 C2
F6 H1
E8 I8
D4 M5
C2 H7
D5 C5
I12 A10
C5 M11
D5 B1
M11 G7
I12 L4
M5 H10
D5 E1
G7 B12
E8 D12
F8 F4
D5 H1
F8 I10
D5 E1
F6 L3
E8 E8
F8 H3
E8 I9
F6 G7
D5 M12
H10 C7
I12 A2
E3 F2
E8 D10
F6 A1
H7 I7
C7 M3
I12 N3
M3 M1
I7 M7
F6 F4
E8 A12
F6 B10
D5 G5
M1 G9
I12 F12
G9 L5
D5 L4
F6 G9
E8 H3
E3 G3
I12 C3
F8 N9
D5 C3
F6 F11
M7 C2
B12 H11
I12 E4
L5 G2
D5 F9
F8 M8
D5 L8
E3 B3
D5 L8
F6 F2
C2 I6
F6 C9
D5 B2
E3 L4
I12 M5
G2 B12
E8 A11
E3 L9
I12 N12
E3 G1
E8 H2
E3 L4
D5 G7
F8 E7
E8 L5
F8 I1
D5 A1
B12 H12
I6 D10
F6 H11
D5 E6
F8 L2
D10 I2
E3 H5
I2 B10
F8 D7
I12 H12
H12 C1
E8 A5
C1 L2
B10 H2
H11 G12
E8 M7
G12 B10
H2 L8
B10 H12
L8 D9
L2 D12
I12 L10
H12 B10
E8 C12
B10 I10
E8 E9
E3 G5
D5 C7
F8 H3
D5 C10
E3 G9
D5 H12
F8 B5
D5 N6
I10 G10
D9 F5
F6 A11
F5 C10
F8 H7
E8 F3
F6 H1
C10 G9
G10 E5
E8 M11
E5 F10
D5 E5
F10 B1
D5 M8
F6 L4
G9 I2
E3 I8
I2 C11
F6 L10
C11 L5
E3 A6
L5 I1
F6 C10
E8 M3
B1 B9
I1 H2
F8 I12
D5 E1
F8 N3
H2 B2
F6 N8
E8 A10
F6 A4
B2 L1
F6 F2
E8 A4
F6 G4
I12 D1
F6 B2
D5 E7
B9 I2
L1 D11
F6 B10
E8 E4
E3 F4
E8 M5
F8 N1
E8 H2
F6 H3
I12 I2
I2 F5
E8 A7
F6 L9
D11 H11
E3 H8
H11 G4
E3 I4
D5 B3
F6 N11
D5 D11
F5 H5
G4 E12
F6 M1
I12 G11
F6 N5
E8 I9
F8 L11
E8 G5
F8 B7
D5 G2
F6 E12
E12 B12
H5 L6
B12 C10
F8 M11
D5 H2
F6 C5
E8 I10
L6 D10
E8 L3
F6 A6
I12 L6
D10 E5
E8 E8
F8 I11
I12 D10
E5 L7
D5 M7
F8 B7
E8 G6
E3 M9
C10 D2
F6 C11
D5 E10
F8 G8
D2 G2
F8 D8
E8 A11
F8 M3
G2 L1
F8 A3
I12 L4
E3 L6
E8 A12
E3 N9
I12 A6
F6 N6
D5 G2
E3 C1
L1 G1
F6 E9
I12 F7
F8 E6
I12 G9
F8 M12
G1 B4
E3 F1
I12 N8
E3 A12
I12 F7
F6 M6
I12 L3
F8 F6
I12 M3
E3 C3
D5 A10
F6 G1
I12 B3
F8 H5
D5 I3
F8 N3
I12 I12
F8 L2
D5 M11
E3 D4
B4 M6
F8 L8
I12 D8
E3 I12
E8 B2
E3 C3
E8 D4
F8 M8
I12 E2
E3 F5
E8 B2
E3 I6
M6 G9
F8 N8
E8 L9
E3 F5
E8 C9
F8 B1
G9 D10
F6 I8
D5 C12
E3 F12
D5 D4
F6 F11
D5 I4
E3 M11
D10 B9
F6 F9
E8 B10
F6 B4
E8 G12
F6 L8
D5 G1
E3 F7
B9 M7
F8 M5
M7 H2
F8 B12
H2 C2
F8 H11
E8 D7
F6 A3
E8 B8
F8 L9
C2 B6
E3 L7
I12 L2
F6 H10
E8 B5
F8 M3
D5 D2
F8 C8
B6 B12
F8 M2
E8 G2
F6 L1
D5 D8
F6 B6
B12 F7
E3 M10
E8 M10
F6 A9
D5 F10
F6 G9
E8 D5
E3 N4
I12 I8
F6 N7
E8 L10
F6 G4
E8 B11
F6 N7
F7 L3
F6 G4
L3 B6
E3 I5
D5 D8
F6 N9
E8 G9
E3 G2
B6 F5
F8 F9
I12 L8
E3 B12
D5 F9
E3 D9
D5 F10
E3 G4
I12 F6
F6 B5
I12 C1
F6 F6
I12 A2
F6 N1
I12 L11
E3 H5
D5 D10
E3 M6
I12 F11
F6 A8
E8 A12
E3 B8
E8 D3
F8 D9
I12 C1
E3 C9
I12 L3
F6 B11
I12 D3
F6 A12
E8 E6
F6 N6
I12 D12
F6 I2
E8 D1
F8 L5
F5 F4
F8 C10
F4 M3
F8 C7
D5 D1
E3 I4
I12 I1
F6 H6
D5 L6
F8 D10
E8 I8
E3 B7
M3 M6
F6 I9
I12 C1
F8 H6
M6 H11
F6 C4
E8 E10
E3 F4
H11 M4
F8 B2
M4 M1
E3 M12
I12 G5
E3 I3
E8 D8
F8 D10
E8 B8
E3 L6
M1 C9
F6 F3
E8 H9
F6 A6
D5 D12
F8 N11
E8 F1
F6 D11
D5 N11
E3 C2
I12 E3
F6 G3
C9 D12
F8 C10
I12 H4
F6 A10
E8 H7
F6 G2
D12 D9
E3 L10
I12 B5
F8 F5
D9 H9
E3 F7
D5 I11
F8 A7
D5 F9
F8 M10
I12 F6
E3 L11
D5 H2
E3 C8
I12 E6
E3 F2
D5 B8
E3 I5
H9 L3
E3 B3
D5 E3
E3 B12
E8 A5
F6 C9
E8 H11
F8 C2
D5 L9
F8 I12
I12 H9
F6 F5
I12 N6
E3 L7
I12 B11
F6 B12
I12 D11
E3 C3
I12 A5
E3 M4
D5 B1
F8 I9
E8 G3
F6 H1
I12 C1
F6 H12
L3 B11
E3 C12
B11 L8
F6 F4
D5 B7
E3 B1
E8 E8
E3 E11
D5 N6
F6 C2
I12 C7
F6 N3
I12 F6
F8 L5
E8 I9
F8 B11
I12 F5
E3 L6
D5 I3
F6 F10
D5 M11
F8 A7
D5 M5
F6 B2
I12 B12
F8 M5
D5 E8
F6 H10
L8 I5
E3 M9
I12 I7
E3 C10
D5 L7
F6 A11
I12 G2
