L4 D9
E12 L5
F6 C4
G4 F5
F6 G11
F5 B3
F6 L9
D5 I2
L8 E10
B3 F9
D9 C3
I9 L8
C3 C4
I2 D7
F6 G4
L5 D10
C4 B11
I2 L3
H10 G2
D5 N3
B11 M10
F9 C8
F6 G7
C8 M6
H10 B11
M6 I5
B4 C6
I2 A4
E10 D10
I2 M9
H10 A6
D10 F5
D10 N8
I5 B3
M10 I3
I2 A2
N8 C9
F5 G10
C9 B8
D5 D4
F6 N5
I9 N7
B4 C6
I9 I9
B4 B2
D5 C7
F6 L3
I2 F6
H10 L11
G10 M3
H10 I10
N4 D2
F6 F12
D5 I7
F6 N2
M3 C8
H10 L2
D2 F6
B8 N7
I9 C10
I3 I5
I9 B11
H10 D3
C8 C11
B4 M4
C11 I3
I5 B11
I9 H3
B4 B3
B3 C12
F6 C11
F6 N2
N7 M6
D5 E2
B4 D9
D5 N5
B11 H7
C12 G10
M6 N9
D5 E11
H10 C11
N2 B10
H7 E7
I3 F1
H10 L8
G10 D9
N9 L2
B10 N4
L2 L6
D5 A9
B4 F2
N4 D12
F6 F4
D12 E6
H10 I7
I9 L12
F6 A1
I2 L7
F6 I1
D9 G12
E7 H7
E6 G3
H7 H3
D5 F4
H3 A2
D5 H6
B4 G8
G12 F11
L6 E5
F1 M4
H10 I5
M4 I3
H10 D3
D5 D3
H10 M2
D5 B9
A2 B10
F11 E9
E5 G8
I9 B7
F6 I11
G3 H5
H10 N7
E9 G12
B4 E6
G12 D11
B10 C7
D5 L7
B4 I3
I9 C6
C7 A9
H5 H10
F6 C12
I2 H4
F6 L10
I3 M8
B4 F9
D11 C8
B4 G1
I9 B2
G8 H6
M8 G12
A9 D8
I2 B11
D8 N4
C8 M1
H10 L12
D5 G8
H6 A5
H10 L6
A5 G4
L6 N6
F6 G1
N6 M5
N4 D5
M1 G10
H10 E2
I9 L12
B4 D4
M5 M4
D5 I5
I9 N3
B4 F8
G12 C2
I5 B10
M4 E4
B10 M7
C2 D12
H10 A2
D12 L12
F6 G7
D5 A5
H10 I7
D5 H7
G4 A6
G10 B3
F6 D2
L12 D12
F6 L7
B3 L3
H10 H1
L3 G3
B4 D3
D12 H4
M7 L4
I9 H3
L4 N7
G3 B1
F6 N2
I9 F7
N7 I5
I9 E4
B4 M3
I2 B8
A6 A9
E4 F9
B4 H2
B1 G10
H10 F2
H4 G11
I5 A3
I9 L8
F6 B10
D5 N1
F6 C3
I2 C11
A9 H2
D5 E1
F6 D9
D5 B6
B4 D3
I2 G9
F6 H1
I9 L8
H10 F9
G11 M11
F6 E5
M11 G11
H2 L3
G10 E10
F6 H5
D5 C6
H10 A7
I2 M5
B4 H12
E10 D8
F6 G9
D5 G6
L3 D9
D8 C8
H10 E6
I2 A11
H10 I5
D5 B12
A3 C8
C8 C12
H10 D7
I9 I11
B4 A7
G11 B4
H10 I9
B4 G8
B4 E12
G8 M8
H10 H6
C12 B5
H10 N12
B5 F9
D9 H4
D5 D12
B4 L3
I9 I12
B4 G1
I9 E2
H4 D5
I9 M5
B4 N9
M8 D2
F6 D4
D2 I6
H10 L5
F9 B1
C8 M5
I9 H2
F6 A1
B1 F10
H10 E11
F10 E8
F6 A3
I6 D12
H10 N10
E8 L6
F6 H11
D12 E11
H10 B12
D5 G8
H10 E3
I2 L11
B4 E9
D5 D3
M5 A4
I2 I8
F6 M6
I9 L2
D5 D5
L6 G8
F6 N2
G8 F5
D5 M11
I2 N3
A4 N8
I9 B9
F6 I6
D5 A6
F6 F12
E11 D12
H10 N8
I2 C12
M11 I5
I9 D7
B4 B4
D5 L1
I5 H4
F5 F8
B4 L5
D5 H11
B4 L3
F8 D10
H4 C11
D10 M5
F6 N10
M5 D8
B4 C5
D5 N12
B4 E6
D8 F5
B4 D4
D12 F8
H10 I4
I9 H8
F6 A9
I9 F12
N8 A10
I2 G9
F6 A3
I2 N6
B4 A7
D5 E2
A10 G3
F8 C11
F6 H3
I9 H11
F6 G4
I9 H6
G3 C2
D5 A1
B4 C2
I9 B6
C11 N5
I2 I5
H10 B1
D5 I9
F6 G4
F5 G1
N5 G7
I2 L6
G7 H3
C11 F6
B4 H2
I2 I6
C2 M10
I9 L11
F6 D2
I2 G6
F6 I12
G1 G5
M10 M11
D5 G6
H10 B9
D5 A7
B4 N8
I2 C1
H10 L1
G5 G5
H10 F4
I2 H11
M11 G4
I2 G3
B4 D9
D5 L1
F6 E2
I9 E5
H3 D7
I2 H8
B4 H12
D5 A9
D7 H5
G5 B5
F6 L9
B5 D1
H10 E11
I2 C2
F6 A3
D5 L6
G4 L7
D5 E6
B4 E12
D5 H5
F6 I4
D5 I3
H10 G5
F6 M9
H10 C2
D1 B6
F6 I11
D5 M11
F6 B2
M9 F7
L7 L2
I2 C6
L2 F2
I9 N6
F6 G7
